epoch,train_loss,train_acc,val_loss,val_acc
1,0.38203743687926317,0.844487552537989,0.15419750853678105,0.9378238341968912
2,0.13779890708290485,0.9482702877465244,0.0913633098488027,0.9740932642487047
3,0.08816781963802563,0.967992240543162,0.06666741212299142,0.9689119170984456
4,0.06153752799713463,0.9776915615906887,0.0699335776288738,0.9766839378238342
5,0.04074437280913897,0.9864209505334627,0.05486396956638285,0.9689119170984456
6,0.029366668237637002,0.9883608147429681,0.050041008245747615,0.9766839378238342
7,0.02958086354376774,0.9909473003556418,0.038395105000227026,0.9922279792746115
8,0.010402126844780868,0.9980601357904947,0.041561374141098936,0.9896373056994819
9,0.007400179031460687,0.998383446492079,0.057822443626873506,0.9792746113989638
10,0.01591538926234967,0.9935337859683157,0.048213274821631825,0.9844559585492229
11,0.013894492688411446,0.9957969608794052,0.04514943941689634,0.9922279792746115
12,0.006589177755034937,0.9987067571936632,0.04457707432327295,0.9844559585492229
13,0.00577063538091228,0.998383446492079,0.04575895507821138,0.9922279792746115
14,0.002221865127594056,0.9996766892984158,0.0348257376858226,0.9870466321243524
15,0.0022968551985770766,0.9987067571936632,0.07160581811994675,0.9740932642487047
16,0.0065479221271215185,0.9980601357904947,0.07247730000173426,0.9844559585492229
17,0.002395875165219028,0.9990300678952474,0.03903513494848846,0.9818652849740933
18,0.0008576935235562221,1.0,0.05018548134046634,0.9844559585492229
19,0.00027047592457009746,1.0,0.04686811827774608,0.9818652849740933
20,0.00010171438937028651,1.0,0.04711707062817811,0.9844559585492229
21,7.079742691464982e-05,1.0,0.04672741606817074,0.9870466321243524
22,0.002331866118956446,0.9993533785968316,0.1048594603312432,0.9715025906735751
23,0.038201014826094115,0.9854510184287101,0.07899570278250347,0.9740932642487047
24,0.033327566682142165,0.9873908826382154,0.028134239427358123,0.9870466321243524
25,0.005028060837687953,0.998383446492079,0.03969496109165704,0.9844559585492229
26,0.0015586143694108915,1.0,0.044832122643655284,0.9870466321243524
27,0.0006015573639463004,1.0,0.05795481813971363,0.9844559585492229
28,0.00037071153949222,1.0,0.047687436090728,0.9818652849740933
29,0.00028011227366140566,1.0,0.05349381571669375,0.9870466321243524
30,8.693924267761481e-05,1.0,0.05097757455083984,0.9870466321243524
