epoch,train_loss,train_acc,val_loss,val_acc
1,0.3678598277417734,0.851600387972842,0.18347162752378482,0.9404145077720207
2,0.14716543881370148,0.9453604914322665,0.10442071638209986,0.9585492227979275
3,0.09306496085109466,0.9683155512447462,0.07548836099739076,0.9689119170984456
4,0.0646161512055305,0.9783381829938571,0.1660233110519985,0.9507772020725389
5,0.05576196317842506,0.9780148722922729,0.06350189397142297,0.9740932642487047
6,0.03392850300866233,0.9886841254445523,0.057677664899284144,0.9766839378238342
7,0.0327084260371523,0.9880375040413838,0.049395570842110534,0.9870466321243524
8,0.011105351465896635,0.9974135143873263,0.05192905941853049,0.9844559585492229
9,0.008313450952142722,0.9987067571936632,0.05349299315867736,0.9870466321243524
10,0.008665457358035793,0.9977368250889105,0.0669348273809922,0.9792746113989638
11,0.012409559769313235,0.9951503394762368,0.1278727123974194,0.9611398963730571
12,0.007909881405125038,0.9974135143873263,0.07419222591678873,0.9792746113989638
13,0.002515983347230287,0.9993533785968316,0.06563974763753794,0.9818652849740933
14,0.013747469393373549,0.9945037180730683,0.046828905875080394,0.9844559585492229
15,0.017849876417060595,0.9928871645651471,0.06395100223076301,0.9792746113989638
16,0.01124130955983388,0.9964435822825736,0.03374691690508887,0.9844559585492229
17,0.005176609245462706,0.9990300678952474,0.04942920051425829,0.9792746113989638
18,0.00520029317781188,0.998383446492079,0.04400798820810718,0.9896373056994819
19,0.000467845005968674,1.0,0.04139698761225179,0.9870466321243524
20,0.00016531951322536502,1.0,0.04182502632680796,0.9870466321243524
21,0.00019931494356048546,1.0,0.04526218023227161,0.9870466321243524
22,0.00010404457685828882,1.0,0.04419289767281321,0.9870466321243524
23,7.383552847524657e-05,1.0,0.04381431536298122,0.9870466321243524
24,8.803698123589308e-05,1.0,0.04176561120926786,0.9896373056994819
25,5.7362304251078674e-05,1.0,0.04190470415503486,0.9896373056994819
26,5.421635182631319e-05,1.0,0.04221850035171817,0.9896373056994819
27,4.598703991376971e-05,1.0,0.04233745255088615,0.9896373056994819
28,4.078897781320937e-05,1.0,0.0421488564850149,0.9896373056994819
29,3.388155584802897e-05,1.0,0.042367050955457335,0.9896373056994819
30,3.0003386024858184e-05,1.0,0.04261490766610392,0.9896373056994819
